id,text,title,rating,category
story_reviews_00000,"Scientists have found an unexpected use for virtual reality headsets: to help pinpoint people who may later develop Alzheimer’s disease.

The devices, widely used by computer gamers, display images that can be used to test the navigational skills of people thought to be at risk of dementia. Those who do worse in the tests will be the ones most likely to succumb to Alzheimer’s later in life, scientists now believe.

By identifying potential patients far earlier than is possible at present, researchers hope it should then become easier in the long term to develop treatments aimed at halting or slowing their condition.

“It is usually thought memory is the first attribute affected in Alzheimer’s,” said project leader Dennis Chan, a neuroscientist based at Cambridge University. “But difficulty with navigation is increasingly recognised as one of the very earliest symptoms. This may predate the onset of other symptoms.

“By pinpointing those who are beginning to lose their navigational skills, we hope to show that we can target people at a much earlier stage of the condition and one day become far more effective in treating them.”

The discovery that loss of navigational skills was associated with Alzheimer’s disease was made several years ago by Chan and colleagues based at several centres in the UK. These studies used tablet computers to test navigational tasks.

But now scientists plan to take their tests to a new level with the use of the virtual reality sets in which wearers are immersed in simulated environments through which they must navigate.

Around 300 people, aged between 40 and 60, will be recruited to take part in the study. Some will have a gene that puts them at risk of the condition or will come from a family with a history of Alzheimer’s. Not all will be destined to be affected by the disease, however. Chan’s project aims to find out who will.

Wearing virtual reality headsets, participants will be asked to navigate their way towards, and then remember details of, a series of different environments.

“We will make a note of those who have particular problems and see if these are the ones who are at higher risk of developing Alzheimer’s,” explained Chan. “The aim of the study is very simple: can we detect changes in brain function before people are aware that they have them?”

Researchers recently pinpointed the significance of a tiny area of the brain known as the entorhinal cortex, which acts as a hub in a widespread brain network that controls navigation. This now appears to be the first part of the brain that succumbs to Alzheimer’s.

“The entorhinal cortex is the first brain region to show degeneration when you get Alzheimer’s, and that is where we shall be focusing our research,” said Chan, whose work is funded by the Alzheimer’s Society.

The goal of the work is to help people as they develop the disease. “To date, drug trials for Alzheimer’s have been applied when people have already got dementia, by which time considerable damage to the brain has already occurred,” Chan told the Observer.

“If we can develop drugs and administer them earlier, for instance before the disease has spread beyond the entorhinal cortex, then this would have the potential to prevent the onset of dementia.”",Virtual reality to help detect early risk of Alzheimer’s,1,The Guardian
story_reviews_00001,"(Reuters) - Evofem Biosciences Inc said on Monday its birth control gel showed effectiveness in a late-stage study, bringing the first hormone-free contraceptive close to approval and sending its shares up 27 percent before the bell.

Male condoms and oral pills dominate the $5.5 billion contraceptive market in the United States. However, oral pills cause side effects such as bleeding between periods, mood swings and nausea in women.

“These results pave the way for Amphora’s disruption of the contraception market as a novel, highly effective, non-hormonal and woman-controlled method that finally answers women’s long-awaited desire to avoid hormones,” Roth Capital Partners analyst Yasmeen Rahimi said.

The gel works by regulating vaginal pH within the normal range of 3.5 to 4.5, creating a hostile environment for sperm and certain viral and bacterial pathogens that can cause sexually transmitted diseases.

Amphora was found to have a 86 percent efficacy rate in avoiding pregnancies and no serious side-effects were observed in the study, which evaluated about 1,400 healthy women belonging to the age group 18-35 years, Evofem said.

Oppenheimer analyst Leland Gershell said he expects Amphora, the company’s lead product, to bring in peak sales of $415 million by 2032.

The company plans to resubmit the marketing application for Amphora in the second quarter next year and if approved, plans to launch the product in January 2020.

Evofem is also testing Amphora as a preventive treatment for chlamydia and gonorrhea - two of the world’s most common sexually transmitted infections.",Evofem's birth control gel meets main study goal; shares rise,3,Reuters
story_reviews_00002,"A Chicago couple who previously suffered two miscarriages recently welcomed a healthy baby boy thanks to a breakthrough new fertility test which helps women struggling with achieving a successful pregnancy by examining the mother's DNA.

The test is offering new hope to many family's struggling to conceive.

Carolyn Bilson and Tim O'Brien met three years ago, and say it was love at first sight.

""Literally a month later we knew, we wanted to have children,"" Bilson told ""Good Morning America.""

ABC News

But after two miscarriages, Bilson, then pushing 40, said the couple sought help from a fertility specialist in Chicago who recommended in vitro fertilization.

Their first attempt at IVF, however, failed too, according to Bilson.

""I think it was just so devastating, because we didn't anticipate that,"" she said. ""We thought the hard part would be getting pregnant, not staying pregnant.""

O'Brien added that the most ""frustrating thing"" was that ""you didn't learn anything from the previous miscarriage. So, there wasn't, 'What could we do differently?'""

The couple then learned about a new way to tailor fertility treatments specifically to the DNA of the mother, using a test that can help couples figure out the perfect time for conception, based on that DNA.

ABCNews.com

The Endometrial Receptivity Test uses a tissue sample to look at 238 genes to find out the optimum time for conception, thus increasing the couple's chance to conceive.

For Bilson, that time is two days later than the average woman.

Dr. Ilan Tur-Kaspa, an OB-GYN and the director of Chicago's Institute for Human Reproduction, described the process as ""personalized medicine.""

ABC News

""This is what we are trying to do here by personalized medicine,"" Tur-Kaspa said, adding that you can ""make sure"" that ""the uterus is ready, and optimize a time for implantation.""

The result: Their beautiful baby Westley, who is now nine months old.

""We're so lucky,"" Bilson said. ""We're so blessed.""

ABC News

OB-GYN Dr. Jessica Shepherd told ""GMA"" that this breakthrough new treatment is very exciting to the medical community because it offers another avenue for women who have recurrent miscarriages to potentially get pregnant, when it is something they never thought they could look forward to.

The new technique works by having a doctor take a sample of the women's endometrial tissue, which you can get DNA from, and from that DNA you can tell what part of the cycle is prime time to take the fertilized egg and implant it via IVF, Shepherd added.

Shepherd said that the ideal candidates are women who have had three or more miscarriages or women over 40, but emphasized that the test is not for everyone and infertility is a spectrum.

One risk of the procedure many women may not take into account is the emotional effects of it not working and you still miscarrying, Shepherd said. It is a new process and important to go over the risks of the procedure -- which can vary per person -- with your health care provider.",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,2,ABC News
story_reviews_00003,"(Reuters) - Johnson & Johnson said its drug, Tremfya, was found to be more effective than a rival medicine from Novartis AG in reducing the severity and affected area in adults with moderate-to-severe plaque psoriasis in a late-stage study.

FILE PHOTO - A Johnson & Johnson building is shown in Irvine, California, U.S., January 24, 2017. REUTERS/Mike Blake

After 48 weeks of therapy, 84.5 percent of the 1,048 participants treated with Tremfya showed 90 percent improvement in disease symptoms, as measured by the Psoriasis Area Severity Index, compared with 70 percent on Novartis’s Cosentyx, J&J said.

J&J is positioning Tremfya as a better alternative to Cosentyx as it seeks to take market share away from Novartis’s drug, which was launched two years ago and is among the top-selling treatments in the $11 billion global psoriasis market.

That market is expected to double to $21.11 billion by 2022, according to U.S. consultant Grand View Research.

With $2.1 billion in sales in 2017, Cosentyx has become one of the top revenue earners for Novartis and is expected to make up for falling revenue from its blood cancer treatment, Gleevec, whose patent expired two years ago.

On a media briefing following the release of J&J’s trial results, Novartis said it expected the data to have “limited clinical relevance” and no impact on plans to expand the Cosentyx label.

J&J also said Cosentyx demonstrated quicker effectiveness than Tremfya during the study.

“These results imply that Cosentyx remains a good option for moderate-to-severe psoriasis patients that want to achieve more rapid skin clearance,” brokerage Jefferies wrote in a note following the results.

“We see Cosentyx secure as a mainstay psoriasis therapy.”

Psoriasis is a chronic condition that causes an overproduction of skin cells, resulting in inflamed, red lesions or plaques, which can be itchy and painful.

About 7.5 million Americans live with plaque psoriasis, of which 20 percent have moderate-to-severe form of the disease, J&J said.

Tremfya, first approved in July 2017 as a plaque psoriasis treatment in the United States, is also being tested as a for psoriatic arthritis and Crohn’s disease.

Shares of J&J closed up marginally at $148. U.S.-listed shares of Novartis closed up 1.2 percent .",J&J says its psoriasis drug superior to Novartis treatment in study,2,Reuters
story_reviews_00004,"En Español

By Steven Reinberg

HealthDay Reporter

FRIDAY, Dec. 7, 2018 (HealthDay News) -- Hot flashes, a common curse in menopause, can be especially bothersome after breast cancer. But a new study suggests an existing medication may help.

The drug is oxybutynin (Ditropan XL), long used to treat urinary incontinence.

The study found that women taking the medicine had an average of five fewer hot flashes a week, compared with three fewer among women taking a placebo.

""Oxybutynin is an option that can control these symptoms and improve quality of life,"" said lead researcher Dr. Roberto Leon-Ferre, an assistant professor of oncology at the Mayo Clinic in Rochester, Minn.

There are a couple of reasons for severe hot flashes after breast cancer. Chemotherapy may induce early menopause, and drugs that reduce estrogen levels may make hot flashes worse, the research team noted.

Hormone replacement therapy, which is often recommended for menopausal symptoms, is generally not advised for breast cancer survivors. That's left women who can't take hormones at a disadvantage.

Oxybutynin blocks a substance in the brain, and one of its side effects is decreased sweating, Leon-Ferre noted.

""Because of this, we can take advantage of the 'side effect' and decrease involuntary sweating associated with hot flashes, and decrease the hot flashes as well,"" he explained.

The drug could be game-changing for certain women, said Dr. Alice Police, regional director of breast surgery at Northwell Health Cancer Institute in Sleepy Hollow, N.Y.

""This is a really important advance in survivorship and compassionate cancer care,"" added Police, who wasn't involved in the study.

Because oxybutynin is already available for other conditions, Leon-Ferre said doctors could prescribe it off-label.

However, he cautioned that its long-term effects aren't known. Drugs in this class -- called anticholinergics -- have been linked with mental decline, he said.

For example, the drugs may raise the risk for problems with short-term memory, reasoning and confusion, and may also hike the risk for dementia among older patients, studies indicate.

For the new study, Leon-Ferre and his colleagues randomly assigned 150 women who experienced at least 28 hot flashes a week to oxybutynin or a placebo.

Almost two-thirds were also taking drugs to prevent a return of breast cancer, either tamoxifen or an aromatase inhibitor.

The women were randomly assigned to one of three groups: low-dose oxybutynin twice a day for six weeks; low-dose oxybutynin for one week followed by an increased dose; or a placebo.

Both doses appeared to reduce hot flashes better than the placebo.

And oxybutynin doesn't interfere with the metabolism of tamoxifen, Leon-Ferre said, calling that an important consideration for breast cancer survivors.

Most insurance covers oxybutynin, and a month's supply can range from $21 to $42. With insurance, copays would be less, he added.

Side effects included constipation, mild diarrhea, dry mouth, dry eyes, episodes of confusion and difficulty urinating, the researchers found.

Women taking oxybutynin also reported improvement in work, social activities, leisure activities, sleep and overall quality of life.

These are vital issues, Police said. ""I will never forget the first time a patient said, 'Thank you for curing my breast cancer, but you ruined my life,' "" she said.

The patient said endocrine therapy had caused hot flashes so severe that she could not sleep. As a result, she was having trouble at work and in all other aspects of her life, Police recalled.

""Her intimate relationship was also suffering, as nighttime had become a battleground between her and her internal temperature control,"" Police said.

The patient said she was willing to stop her hormone therapy and risk the return of breast cancer rather than live with her current symptoms, she said.

""This study makes me hopeful that these patients may have a way out of their dilemma,"" Police said. ""Instead of just telling them they should be happy to be alive, we may be able to offer a reliable treatment for some of the debilitating side effects of our treatments for breast cancer.""

The research was scheduled to be presented Friday at the San Antonio Breast Cancer Symposium in Texas. Studies presented at meetings are usually considered preliminary until peer-reviewed for publication in a medical journal.

More information

The U.S. National Cancer Institute has more about hot flashes and cancer survivors.",Incontinence Drug May Cut Hot Flashes in Breast Cancer Survivors,5,HealthDay
story_reviews_00005,"Before Starting A Statin, Talk It Over With Your Doctor

Enlarge this image toggle caption Visuals Unlimited/Getty Images/Visuals Unlimited Visuals Unlimited/Getty Images/Visuals Unlimited

A study published Monday is pushing back against the notion that up to 40 percent of Americans should be taking statin drugs to reduce the risk of heart disease. The study, in the Annals of Internal Medicine, argues that current medical guidelines haven't adequately considered the risks from these widely used drugs.

""Some harms are mentioned, but it's entirely unclear how they were considered when coming up with the recommendations,"" says Milo Puhan, a physician and epidemiologist at the University of Zurich and senior author of the new study. ""In our approach we very explicitly considered the harms.""

It's important to note that statin drugs are generally safe, and harms are uncommon. On the other hand, the benefits aren't that great, either. Anywhere from 50 to 200 healthy people need to take a statin daily to prevent a single heart attack for five years, so even small harms may outweigh the potential benefits, the Swiss scientists say.

The most common side effect of these drugs is muscle pain, which usually goes away if patients stop taking the medicines. People taking statins are also at a higher risk of developing diabetes, which is harder to reverse.

Puhan also found that some statins were more effective than others, with atorvastatin (the generic name for Lipitor) being the best of the bunch. He notes that physician guidelines don't generally compare the relative value of these drugs, which are all available as inexpensive generics.

He also finds that benefits fade compared with harms as people get older. ""The elderly do not benefit as much as previous studies might have thought,"" he says.

""One size doesn't fit it all,"" he concludes. ""That's a very important message.""

Puhan says, based on his assessment, perhaps 15 to 20 percent of older adults should be taking statins – far less than the 30 or 40 percent suggested by current medical guidelines.

""I think for me, as a physician,"" says Ilana Richman, an internist at the Yale School of Medicine, ""this kind of data suggests that if we give more weight to the potential for adverse events, then maybe it's reasonable to hold off for lower-risk patients.""

She co-wrote an editorial about the paper and came away from it thinking that doctors need to spend more time talking about the plusses and minuses of statin treatment, personalizing their recommendations more than they do now. She says it's a challenge to convey these sophisticated concepts in the short amount of time doctors have to spend with their patients.

Yet that kind of dialog is increasingly the expectation. In mid-November, the American Heart Association and American College of Cardiology published new guidelines calling for more nuanced conversations around who would most benefit from statins.

Scott Grundy, a physician at the University of Texas Southwestern Medical Center who chaired the guidelines committee, says the new recommendations urge people in this gray area to get a special kind of CT scan that looks for calcium deposits in heart arteries, a signal for clogs that could cause trouble.

""If you have no coronary calcium, then your chances of having a heart attack over the next 10 years are very low,"" he says.

And it turns out that perhaps 40 percent of people who are identified as candidates based on their risk factors such as cholesterol levels and age actually have clear heart arteries, Grundy says. ""That means a lot of people are going to be treated unnecessarily if they don't have the calcium scan.""

But that test, which Grundy says is available for about $100, is controversial among some physicians. They worry that it will trigger overtreatment of conditions that the scan will pick up, but which don't require urgent attention.

And it is only useful as a screening test for people who haven't had heart disease. Statins are routinely prescribed for people who have already had a heart attack or stroke. For those patients (who weren't included in the Swiss analysis), the benefits are so clear ""it's almost mandatory to be on a statin drug,"" Grundy says.

He disagrees with a lot of the particulars in the Swiss study. So does cardiologist Roger Blumenthal, who heads the Ciccarone Center for the Prevention of Heart Disease at Johns Hopkins. ""The harms [analyzed in the paper] can be dealt with by a smart clinician,"" he says.

Yet both the new guidelines and the latest study agree on an important point: Doctors and patients should spend more time reviewing the benefits and risks of statins, with attention paid to each person's particular circumstances.

You can contact NPR science correspondent Richard Harris at rharris@npr.org.","Before Starting A Statin, Talk It Over With Your Doctor",4,NPR
story_reviews_00006,"En Español

By Alan Mozes

HealthDay Reporter

TUESDAY, Nov. 27, 2018 (HealthDay News) --What if a simple zap to the spine could relieve the debilitating lower back and leg pain brought on by a herniated disk?

Such is the promise of ""pulse radiofrequency"" therapy (pRF), which sends inflammation-reducing pulses of energy to nerve roots in the spine, a new study claims.

The therapy is not new, having first received U.S. Food and Drug Administration approval in the 1980s.

But recent advances in CT scan technology now enable clinicians to deploy those energy pulses with much more accuracy, experts said. And the new research suggests the treatment could prove a boon to back pain patients for whom standard therapies have failed to do the trick.

""I was amazed with the results of pRF,"" said study author Dr. Alessandro Napoli. ""Especially having read, as a radiologist, numerous lumbar MRI scans of patients with recurrent hernia after surgery.""

And as a patient himself, Napoli added that ""from personal experience I can tell you that the treatment is not painful, and the results are appreciated within days after a single treatment lasting 10 minutes.""

Napoli is a professor of interventional radiology at Sapienza University of Rome in Italy.

He and his colleagues plan to report their findings Tuesday at the Radiological Society of North America annual meeting, in Chicago. Such research is considered preliminary until published in a peer-reviewed journal.

Lower disk herniation results when the insulating disks that sit between spinal vertebrae tear open, allowing jelly-like material to protrude and exert pressure on surrounding nerve roots. Beyond lower back pain, the condition often triggers sciatica, a pain that radiates down a patient's leg.

Standard therapies include over-the-counter pain meds, corticosteroid spinal injections, and/or invasive spine surgery that sometimes involves disk removal and vertebrae fusion.

The problem, said Napoli, is that such options entail risks without assured relief.

""Steroid injections are effective only in portion of the patients, and generally require more sessions,"" he noted. And though surgery safety has ""largely improved,"" Napoli pointed to the risk for bleeding and infection, the need for a minimum two- to three-day hospital stay, the high cost, and the fact that some patients ultimately realize little benefit.

By contrast, pRF is scalpel-free, delivering radio signals directly to affected nerves via a CT scan-guided electrode. The process, said Napoli, requires no hospital stay, is noninvasive, far cheaper and less risky.

""The rationale for using pRF on disk herniation is that we eliminate the inflammation process of the compromised nerve root,"" he explained. ""Without inflammation the pain fades, and the body starts a self-healing process that allows for complete resolution of the disk herniation in a large proportion of patients.""

For the study, the Italian investigators compared 128 lumbar herniation patients who underwent a single 10-minute round of CT-guided pRF with 120 patients who received one to three rounds of steroid injections.

All the patients had already undergone standard interventions, with poor results.

By the one-year mark following either treatment, a full ""perceived"" recovery was reported by 95 percent of the pRF patients, compared with just 61 percent of the steroid injection patients.

Dr. Daniel Park, director of minimally invasive orthopedic spine surgery at William Beaumont Hospital in Royal Oak, Mich., offered some caution on the findings.

He noted that because ""the majority of people with back pain improve with time and exercise alone,"" it remains an open question as to whether the pRF procedure really cured the condition.

Still, Park noted that diagnostic uncertainty can undermine the ability of surgery to get at the true source of a patient's pain, given that ""the problem with low back pain is that there are many causes of it, and physicians have trouble identifying the cause of pain.""

Nevertheless, he remains unsure if pRF is truly ready for prime time.

""Best case, I think [pRF] could be an option for people if they [have already] failed therapy and medication,"" said Park. ""It may be a similar option for people if they do not or cannot have steroid injections, but they need more treatment. I think this is experimental, and should not be first-line.""

More information

The American Academy of Orthopaedic Surgeons offers more information on herniated disks.",Nerve Zap Might Ease Pain of Herniated Disk,3,HealthDay
story_reviews_00007,"The age-old answer to inventing a cure for cancer hasn't quite happened yet, but science took another large leap forward. The U.S. Food and Drug Administration announced Monday night it granted accelerated approval to Vitrakvi (larotrectinib), a treatment for adult and pediatric patients whose cancers have a specific genetic feature (biomarker).

This is the second time the agency has approved a cancer treatment based on a common biomarker across different types of tumors rather than the location in the body where the tumor originated.

In layman's terms — it means doctors and researchers can attack cancer at the root of biographical markers in a body, rather than focusing on one point where a tumor originated, like the breast, colon or other cancerous organ.

""Today’s approval marks another step in an important shift toward treating cancers based on their tumor genetics rather than their site of origin in the body,"" said FDA Commissioner Scott Gottlieb, M.D. ""This new site-agnostic oncology therapy isn’t specific to a cancer arising in a particular body organ, such as breast or colon cancer. Its approval reflects advances in the use of biomarkers to guide drug development and the more targeted delivery of medicine.

""We now have the ability to make sure that the right patients get the right treatment at the right time. This type of drug development program, which enrolled patients with different tumors but a common gene mutation, wouldn’t have been possible a decade ago because we knew a lot less about such cancer mutations.

The early beginnings of larotrectinib was studied in three clinical trials that included 55 pediatric and adult patients with solid tumors that had an identified NTRK gene fusion without a resistance mutation and were metastatic or where surgical resection was likely to result in severe morbidity, according to the FDA's statement. These patients had no satisfactory alternative treatments or had cancer that progressed following treatment.

Larotrectinib demonstrated a 75 percent overall response rate across different types of solid tumors. These responses were durable, with 73 percent of responses lasting at least six months, and 39 percent lasting a year or more at the time results were analyzed. Examples of tumor types with an NTRK fusion that responded to larotrectinib include soft tissue sarcoma, salivary gland cancer, infantile fibrosarcoma, thyroid cancer and lung cancer.

Vitrakvi received an accelerated approval, which enables the FDA to approve drugs for serious conditions to fill an unmet medical need using clinical trial data that is thought to predict a clinical benefit to patients. Further clinical trials are required to confirm Vitrakvi’s clinical benefit and the sponsor is conducting or plans to conduct these studies.

""Using our breakthrough therapy designation and accelerated approval processes, we support innovation in precision oncology drug development and the evolution of more targeted and effective treatments for cancer patients,"" the FDA stated. ""This is especially true when it comes to pediatric cancers. We’re committed to continuing to advance a more modern framework of clinical trial designs that support more targeted innovations across disease types based on our growing understanding of the underlying biology of diseases like cancer.""

Common side effects reported by patients in clinical trials receiving Vitrakvi include fatigue, nausea, cough, constipation, diarrhea, dizziness, vomiting, and increased AST and ALT enzyme blood levels in the liver.

Health care providers are advised to monitor patient ALT and AST liver tests every two weeks during the first month of treatment, then monthly and as clinically indicated. Women who are pregnant or breastfeeding should not take Vitrakvi because it may cause harm to a developing fetus or newborn baby. Patients should report signs of neurologic reactions such as dizziness.",Cure For Cancer? FDA Announces New Aggressive Drug Attacking Originating Genes,1,Newsweek
story_reviews_00008,"Joel Shannon

USA TODAY

An experimental vaccine that could hold off Alzheimer's disease showed promising results in animal testing, according to researchers at the University of Texas Southwestern Medical Center.

Testing in mice showed that the vaccine safely prevents the buildup of substances in the brain associated with the fatal disease, the team reported this week in the journal Alzheimer's Research & Therapy.

There has been research in monkeys and rabbits as well, and the researchers hope the vaccine will progress to human trials.

If the vaccine proves safe and effective in humans, it could slice the number of dementia diagnoses in half, the study's senior author told USA TODAY.

More:The hidden side of dementia: Families fight over care, end-of-life decisions, finances, estates

Dementia is a term used to broadly describe symptoms of cognitive decline; Alzheimer's disease is the most common cause of dementia.

Doris Lambracht-Washington, a professor of neurology and neurotherapeutics at the University of Texas Southwestern Medical Center, said researchers believe the vaccine could extend lives by preventing the disease from developing.

“If the onset of the disease could be delayed by even five years, that would be enormous for the patients and their families,” Lambracht-Washington said in a statement. “The number of dementia cases could drop by half.”

Nov. 20:MRI scan may predict which people will develop Alzheimer's disease

Nov. 7:Dark roast coffee might reduce risk of Alzheimer's, Parkinson's, study suggests

Lambracht-Washington said the study marks major progress toward a safe and effective vaccine.

Previous attempts to find an Alzheimer's vaccine either caused harmful side effects, such as brain inflammation, or used less effective approaches, she said.

The vaccine works by prompting the body to produce antibodies inhibiting the buildup of amyloid and tau, two proteins that are hallmarks of the degenerative brain disease.

The vaccine is one of several promising treatments aimed at reducing the buildup of those substances before they become deadly plaques and tangles in the brain.

About 5.7 million Americans have Alzheimer's disease, according to the University of Texas. The number could double by 2050.","Researcher: Alzheimer's vaccine could cut dementia in half, human trials may be next",3,USA Today
story_reviews_00009,"(CNN) Sometimes, Ellis Glover would be forced to leave her friends and sit at a lunch table where no one was eating peanut butter and jelly sandwiches.

""I wanted to sit with my good, good friends, but I couldn't,"" the 10-year-old said. ""If you're a kid and you have a food allergy, it's harder on you. You're missing out on a lot of stuff other children can have. I always want to try peanut stuff.""

Mom Monica Glover said the family discovered Ellis' peanut allergy when she was about 3. The tipoff: a skin reaction around her mouth after she was given food with a small amount of peanuts in it. ""We were lucky to have discovered it that way. That was a mild reaction,"" Glover said, and a doctor confirmed the allergy through tests.

The discovery was ""distressing,"" Glover said. Accidental exposure to peanuts has happened, resulting in ""severe stomach cramps and vomiting,"" she said. ""Essentially, we have to live in fear all the time of Ellis being inadvertently exposed to peanuts and having a reaction that is potentially life-threatening.""

Glover seized the opportunity to participate in a study on the safety and effectiveness of an experimental treatment that could give her daughter protection against accidental exposure to peanuts. Despite the risk, it was ""a gift,"" she said, adding that her family hoped their efforts might help ""lots of other children.""

The risk paid off: Two-thirds of the kids in the study were able to eat the equivalent of two peanuts without any symptoms after following the months-long experimental treatment regimen, the researchers found.

Ellis is one of the majority of children for whom the treatment works. ""It's been a huge success,"" her mother said.

The study results, published Sunday in the New England Journal of Medicine and presented at the American College of Allergy, Asthma and Immunology's Annual Scientific Meeting, prove that the treatment can protect some children against accidental exposure to or ingestion of a very small amount of peanuts or peanut products.

Not a cure

Dr. Brian Vickery, the study's lead author, director of the Children's Healthcare of Atlanta Food Allergy Program and an associate professor of pediatrics at the Emory University School of Medicine, cautioned that ""it's not a cure.""

""It does not make the allergy to go away,"" Vickery said. ""The purpose is not to get them to be no longer peanut allergic and allow them to eat whatever they want.""

Still, that's no small accomplishment, he said. There are no US Food and Drug Administration-approved treatment options for food allergies of any kind or peanut allergy in particular, which, along with tree nut allergy, affects an estimated 3 million Americans or more.

""I'm telling patients when I see them that my hope is that patients will have access by late next summer, something like that,"" Vickery said. He added that although the study proved the treatment's effectiveness and safety only in children, adults would probably benefit in the same way.

How the study worked

To test the experimental therapy, 66 research centers in 10 countries recruited 551 participants who ranged in age from 4 to 55 and who all had a peanut allergy. Most -- 499 participants -- were between the ages of 4 and 17.

The treatment , which comes in powder-filled capsules, is an oral immunotherapy, and the concept is ""treating an allergy by gradually exposing people to the very same thing they're allergic to,"" Vickery said. Essentially, the treatment is a peanut powder.

Ellis participated in the study at the Pediatric Clinical Research Unit at Arkansas Children's Hospital in Little Rock, which was overseen by Dr. Stacie M. Jones, a professor of pediatrics and chief of allergy and immunology at the University of Arkansas for Medical Sciences and Arkansas Children's Hospital.

Ellis and Monica Glover in the Pediatric Clinical Research Unit at Arkansas Children's Hospital in Little Rock.

""We were extremely well-informed about the entire process,"" Glover said. ""You start at a super low dose and work your way up. You take it at the hospital under observation. Then, you take it at home every day. ""

Three-quarters of the study participants were given the treatment in increasing amounts every two weeks until reaching maintenance, when they received the equivalent of one peanut daily. The remainder of the participants were given a placebo. At the conclusion of the study after a year, all of the participants faced an ""exit food challenge"": They ate, under a doctor's supervision, the equivalent of two peanuts.

Two-thirds of the treatment participants were able to tolerate this exit dose without a severe reaction. Half tolerated even twice that amount: a four-peanut dose.

Overall, participants experienced fewer side effects during the study than the researchers had anticipated. ""It's intuitive that that process would trigger some allergic symptoms in many patients,"" Vickery said. A third completed the study with no more than mild side effects, such as stomachache.

Ellis experienced stomach cramps and vomiting multiple times during the study, usually on days when her dose was increased to raise her tolerance. ""Having stomach cramps did not feel very good,"" she said. Still, she usually vomited, and the cramps passed quickly.

Erica Gibson, a registered nurse in the Pediatric Clinical Research Unit at Arkansas Children's Hospital in Little Rock, and Ellis Glover.

Once, she felt her throat constrict, and ""it was harder for me to breathe,"" she said. She'd gone into anaphylaxis, a severe allergic reaction. The hospital staff reacted immediately and gave her a shot of epinephrine. ""I felt safe with all the doctors and nurses around me. They can help you get through it,"" she said.

A little more than 11% of the children dropped out of the study due to severe side effects. Among children receiving the treatment, 10% required rescue epinephrine during the exit challenge, compared with 53% in the placebo group.

""These treatments really have the potential to transform people's lives,"" Vickery said, ""and I have seen it happen firsthand: the sense of relief [families] get when a child becomes desensitized.""

Trying to be 'bite safe'

Dr. Scott Sicherer, a professor of pediatrics and director of the Jaffe Food Allergy Institute at the Icahn School of Medicine at Mount Sinai in New York, said the study is ""the largest of the phase three studies in pharmaceutical-grade peanut.""

""It's what a lot of families call trying to be 'bite safe.' it's not that you're curing the allergy; it's not that you're going to be able to eat peanut butter sandwiches,"" said Sicherer, who was not involved in the study. ""It's really just to have a better threshold so that if you accidentally ate something that had a little bit of peanut in it, maybe you wouldn't have a reaction or the reaction wouldn't be so bad.""

Though the immunotherapy treatment is simply a matter of gradually increasing your tolerance to peanuts, you could have a severe reaction at home. ""This is not something to try at home,"" Sicherer said.

Aimmune has made peanut into a ""pharmaceutical-grade"" product, he said. ""Most people think of it as medicinalized food."" Doctors and patients both know exactly how much you're getting, he said, ""and that's important because if you're reactive to, say, a 50th of a peanut, you don't want to have a mistake where you're suddenly getting a 10th of peanut.""

Assuming the treatment wins FDA approval, Sicherer said, the conversation between doctors and patients will be, ""Is it better to just avoid the food and ask a lot of questions at restaurants and be real careful, or do something like this and still don't eat the food and ask the questions in the restaurant, but at least know you have a bit of a safety valve?""

There are more than a few caveats when it comes to the treatment regimen. For one, it's ""a commitment,"" he said. You cannot take a dose before exercising, and you can't skip doses, or you might have a severe reaction when you pick it up again.

Glover noted, ""It's somewhat disruptive. You have to do it every day. Generally, we would take it after dinner."" After giving the medicine, she added, parents must carefully monitor their children, preventing them from becoming too active or too hot.

Sicherer said, ""The family that does this really, really, really has to be a rule follower. It's not easy."" It would still be worth it to many, he said.

If this ends up being the first approved treatment, if it is covered by insurance and if details of whom it works for best were all worked out and the risks and benefits were clear, ""that would be so amazing, because we haven't really had anything like that before,"" he said.

Get CNN Health's weekly newsletter Sign up here to get The Results Are In with Dr. Sanjay Gupta every Tuesday from the CNN Health team.

""It's not everything we would hope for, but it's still fantastic to be able to raise someone's threshold from a teeny tiny amount of peanut to a couple of peanuts or more,"" said Sicherer, who believes that other allergy products will be developed in time: ""I can tell my patients that this might be the right thing for them, but if not, we're looking at things that might be easier and better down the road.""

Glover acknowledges that ""it's not a perfect solution. I would say it's been some work to go through this study, just in terms of a time commitment."" Still, if it had taken twice the amount of time, she would have done it: ""It's peace of mind.""

Even though she dislikes the medicine's taste, Ellis also believes it is worth it. ""It's definitely better,"" she would say to another kid with peanut allergy: ""You know you can be around your friends when they have peanut butter on them.""","Peanut allergy experimental treatment helps 2 out of 3 sufferers, study finds",5,CNN
